"
			WEBSALE		",http://www.dug-software.de/,"
			Shopware		",http://www.webneo.de/,"
			DE		","
			01237		","
			Dresden		",http://www.feldschloesschen.de/,"
			Lebensmittel, Getränke & Tabak		","
			Entwicklung des Feldschlößchen Fanshops auf Basis von Shopware und Integration in die bestehende Website.		"
"
			Shopware		",http://www.webneo.de/,"
			DE		","
			01237		","
			Dresden		",http://bodybrands4you.de/,"
			Sportartikel  & Freizeit		","
			Entwicklung des Webshops für Sportnahrung und Fitness inkl. Online Marketing Konzeption und Umsetzung		"
"
			Shopware		",http://www.webneo.de/,"
			DE		","
			01237		","
			Dresden		",http://www.toplac.de/,"
			Heimwerker & Baumarkt		","
			Relaunch des Webshops mit Shopware und der Website mit WordPress für diesen Großhändler für Farben und Lacke.		"
"
			Magento		",http://www.webneo.de/,"
			DE		","
			01237		","
			Dresden		",http://www.dresden-titans.de/,"
			Bekleidung & Accessories		","
			Website Relaunch des Dresden Titans e.V. der erfolgreiche 2. Bundesligist im Basketball.		"
"
			Shopware		",http://www.webneo.de/,"
			DE		","
			01237		","
			Dresden		",http://www.impulswarenvertrieb.de/,"
			Lebensmittel, Getränke & Tabak		","
			Webshop Erstellung mit Shopware für einen Großhändler für Tabakwaren und Raucherbedarf.		"
"
			Shopware		",http://www.webneo.de/,"
			DE		","
			01237		","
			Dresden		",http://der-dynamo.de/,"
			Sportartikel  & Freizeit		","
			Keine Angabe		"
"
			Magento		",http://www.netz98.de/,"
			DE		","
			55128		","
			Mainz		",http://www.duden.de/shop/,"
			Bücher, ebooks, Zeitschriften		","
			Relaunch eines Onlineshops in komplexer Multistore-Umgebung für das Bibliographische Institut auf Basis der Magento Enterprise Edition in Rekordzeit von nur wenigen Monaten.		"
"
			Magento		",http://www.netz98.de/,"
			DE		","
			55128		","
			Mainz		",http://www.partsrunner.de/,"
			Auto & Motorrad: Fahrzeug-Teile		","
			Beratung, Konzeption, Design, Technische Umsetzung. TecDoc-Anbindung, ERP-Integration, Multichannel (Integration und Anbindung von eBay, Daparto und Amazon). Launch der B2C/B2B E-Commerce Plattform auf Basis von Magento Enterprisemit über 600.000 Artikeln.		"
"
			Magento		",http://www.netz98.de/,"
			DE		","
			55128		","
			Mainz		",http://www.mdm.de/,"
			Sammeln & Seltenes		","
			Beratung, Design, Technische Umsetzung B2C, SAP Anbindung, CRM System-Anbindung		"
"
			Magento		",http://www.netz98.de/,"
			DE		","
			55128		","
			Mainz		",http://www.anlagemuenzen.de/,"
			Sammeln & Seltenes		","
			Beratung, Design, Technische Umsetzung B2C, SAP Anbindung, CRM System-Anbindung		"
"
			Jimdo		",http://www.typowerkstatt.com/,"
			DE		","
			22761		","
			Hamburg		",http://www.stichelei-stickerei-hamburg.de/,"
			Dekoration, Antiquitäten & Kunst		","
			Corporate Design, Webdesign, Umsetzung Jimdo (responsive Design)		"
"
			Jimdo		",http://www.typowerkstatt.com/,"
			DE		","
			22761		","
			Hamburg		",http://www.gas-und-wasser.net/,"
			Business & Industrie		","
			Umzug von Typo 3 zu Jimdo, Redesign, Umsetzung, Responsive Design		"
"
			Jimdo		",http://www.typowerkstatt.com/,"
			DE		","
			22761		","
			Hamburg		",http://www.babor-beautyspa-backnang.de/,"
			Beauty, Gesundheit, Drogerie		","
			Webdesign, umfangreicher Webshop, Umsetzung auf Jimdo Business		"
"
			Jimdo		",http://www.typowerkstatt.com/,"
			DE		","
			22761		","
			Hamburg		",http://www.erbolario-naturkosmetik.de/shop/,"
			Beauty, Gesundheit, Drogerie		","
			Corporate Design, Webdesign, umfangreicher Webshop, Umsetzung auf Jimdo Business		"
"
			Jimdo		",http://www.lpconcept.de/,"
			DE		","
			45128		","
			Essen		",http://www.senmotic-shoes.eu/,"
			Schuhe		","
			Keine Angabe seitens der Agentur		"
"
			Host Europe		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.lillahopp.de/,"
			Bekleidung & Accessories		","
			Ohne Agentur umgesetzt		"
"
			Host Europe		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.latzundhose.de/,"
			Bekleidung & Accessories		","
			Ohne Agentur umgesetzt.		"
"
			Host Europe		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://shop.epralinchen.de/,"
			Lebensmittel, Getränke & Tabak		","
			Ohne Agentur umgesetzt		"
"
			3dcartShoppingCart		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.waterfilters.net/,"
			Haushalt, Haushaltsgeräte & Küche		","
			Ohne Agentur umgesetzt		"
"
			Bigware		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.werkzeug-seite.de/,"
			Heimwerker & Baumarkt		","
			Keine Angabe seitens der Agentur		"
"
			Bigware		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.bokken-shop.de/,"
			Waffen		","
			Keine Angabe seitens der Agentur		"
"
			Magento		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.magic-glove.de/,"
			Bekleidung & Accessories		","
			Keine Angabe seitens der Agentur		"
"
			IBM WebSphere Commerce		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.klingel.de/,"
			Versandhaus		","
			Keine Angabe		"
"
			OXID eSales		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keineagentur,"
					","
					","
					",http://www.jago24.de/,"
			Verschiedenes, Sonstiges		","
			keine Angabe		"
"
			eBay		",http://www.domaxa.de/,"
			DE		","
			04 425		","
			Taucha		",http://stores.ebay.de/shockproof-kitesurfing,"
			Sportartikel  & Freizeit		","
			eBay Shop Premium Grafische Gestaltung Umsetzung Auktionsvorlage		"
"
			eBay		",http://www.domaxa.de/,"
			DE		","
			04 425		","
